               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.019869,           0.0066822,           0.0044088,             0.98978,                   1,               0.995,             0.86122,            0.014915,           0.0045935,           0.0026305,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019876,           0.0067403,           0.0044634,             0.99156,                   1,               0.995,             0.84676,            0.015735,           0.0045312,           0.0025763,            0.003367,            0.003367,            0.003367
                 136,            0.019325,           0.0062325,           0.0037665,             0.99187,                   1,               0.995,             0.83486,            0.015059,           0.0045503,           0.0025587,           0.0033175,           0.0033175,           0.0033175
                 137,            0.020008,           0.0066055,           0.0049032,             0.99207,                   1,               0.995,              0.8312,            0.014509,           0.0046737,           0.0025152,            0.003268,            0.003268,            0.003268
                 138,            0.018966,           0.0058217,           0.0038307,             0.99244,                   1,               0.995,             0.82573,            0.015808,           0.0046034,           0.0024673,           0.0032185,           0.0032185,           0.0032185
                 139,            0.018723,           0.0069549,           0.0035544,             0.99203,                   1,               0.995,             0.82084,            0.015464,           0.0045702,           0.0024229,            0.003169,            0.003169,            0.003169
                 140,            0.018727,           0.0055949,           0.0039448,             0.99129,                   1,               0.995,             0.81615,            0.015623,           0.0046447,           0.0024038,           0.0031195,           0.0031195,           0.0031195
                 141,            0.018355,           0.0061017,           0.0040654,             0.99064,                   1,               0.995,             0.86508,              0.0139,           0.0045437,           0.0023869,             0.00307,             0.00307,             0.00307
                 142,            0.018603,           0.0062009,            0.005163,             0.99064,                   1,               0.995,             0.82021,            0.015736,           0.0046328,           0.0023787,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017711,            0.005318,           0.0046934,             0.99142,                   1,               0.995,             0.88312,             0.01272,           0.0043595,           0.0023453,            0.002971,            0.002971,            0.002971
                 144,            0.017334,           0.0051373,           0.0037945,             0.99139,                   1,               0.995,             0.82922,            0.015083,           0.0045371,           0.0023246,           0.0029215,           0.0029215,           0.0029215
                 145,            0.017557,           0.0065614,           0.0041409,             0.99225,                   1,               0.995,             0.83314,            0.013565,           0.0043658,           0.0023187,            0.002872,            0.002872,            0.002872
                 146,            0.017272,           0.0057963,             0.00408,             0.99211,                   1,               0.995,             0.85522,            0.013854,           0.0044125,           0.0023145,           0.0028225,           0.0028225,           0.0028225
                 147,            0.017058,           0.0061277,           0.0038419,             0.99147,                   1,               0.995,             0.87914,            0.013485,           0.0043663,           0.0022744,            0.002773,            0.002773,            0.002773
                 148,            0.016446,            0.005406,           0.0042578,             0.99149,                   1,               0.995,             0.83895,            0.013402,           0.0043112,           0.0022465,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018139,           0.0064683,           0.0045503,             0.99101,                   1,               0.995,             0.84531,            0.013332,           0.0044048,           0.0022117,            0.002674,            0.002674,            0.002674
                 150,             0.01713,           0.0062246,           0.0039068,             0.99143,                   1,               0.995,             0.88511,             0.01296,           0.0043287,            0.002188,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016902,           0.0058359,             0.00315,             0.99138,                   1,               0.995,              0.8666,            0.013418,           0.0042658,           0.0021502,            0.002575,            0.002575,            0.002575
                 152,            0.016847,            0.006001,           0.0030761,             0.99127,                   1,               0.995,             0.87437,            0.012957,           0.0042729,           0.0021307,           0.0025255,           0.0025255,           0.0025255
                 153,            0.016662,           0.0058795,           0.0052611,             0.99167,                   1,               0.995,             0.87572,            0.013307,           0.0043281,           0.0021117,            0.002476,            0.002476,            0.002476
                 154,            0.017395,           0.0068901,           0.0038212,             0.99208,                   1,               0.995,             0.86843,            0.012743,           0.0042456,           0.0020986,           0.0024265,           0.0024265,           0.0024265
                 155,            0.017398,           0.0059678,           0.0041115,             0.99228,                   1,               0.995,             0.88322,            0.012062,           0.0042072,           0.0020451,            0.002377,            0.002377,            0.002377
                 156,            0.016666,           0.0054967,           0.0045287,             0.99249,                   1,               0.995,             0.87753,            0.012613,           0.0042505,            0.002021,           0.0023275,           0.0023275,           0.0023275
